INFO 2025-04-19 22:41:35,888 autoreload 6468 7808 Watching for file changes with StatReloader
INFO 2025-04-22 00:00:44,930 basehttp 12620 11244 "GET /api/rep-dashboard/ HTTP/1.1" 200 166
INFO 2025-04-22 00:00:44,938 basehttp 12620 9176 "GET /api/cot-summary/ HTTP/1.1" 200 106
INFO 2025-04-22 00:00:44,938 basehttp 12620 17380 "GET /api/prf-summary/ HTTP/1.1" 200 398
WARNING 2025-04-22 00:15:43,205 basehttp 12620 2124 "GET /api/notifications/ HTTP/1.1" 401 183
INFO 2025-04-22 00:15:43,207 basehttp 12620 2124 "POST /api/accounts/token/refresh/ HTTP/1.1" 200 241
INFO 2025-04-22 00:15:43,253 basehttp 12620 2124 "GET /api/notifications/ HTTP/1.1" 200 2079
INFO 2025-04-22 00:17:46,347 basehttp 12620 2124 "OPTIONS /api/documents/invoices/ HTTP/1.1" 200 0
INFO 2025-04-22 00:17:46,348 basehttp 12620 8992 "OPTIONS /api/documents/templates/ HTTP/1.1" 200 0
INFO 2025-04-22 00:17:46,388 basehttp 12620 2124 "GET /api/documents/templates/ HTTP/1.1" 200 2
INFO 2025-04-22 00:17:46,407 basehttp 12620 8992 "GET /api/documents/invoices/ HTTP/1.1" 200 2216
INFO 2025-04-22 00:17:49,571 basehttp 12620 8992 "OPTIONS /api/documents/proforma-invoices/ HTTP/1.1" 200 0
INFO 2025-04-22 00:17:49,610 basehttp 12620 8992 "GET /api/documents/proforma-invoices/ HTTP/1.1" 200 1954
INFO 2025-04-22 03:46:26,883 basehttp 12620 18620 "OPTIONS /api/prf-summary/ HTTP/1.1" 200 0
INFO 2025-04-22 03:46:26,883 basehttp 12620 16392 "OPTIONS /api/rep-dashboard/ HTTP/1.1" 200 0
INFO 2025-04-22 03:46:26,885 basehttp 12620 5400 "OPTIONS /api/cot-summary/ HTTP/1.1" 200 0
WARNING 2025-04-22 03:46:26,885 basehttp 12620 18620 "GET /api/rep-dashboard/ HTTP/1.1" 401 183
WARNING 2025-04-22 03:46:26,885 basehttp 12620 16392 "GET /api/prf-summary/ HTTP/1.1" 401 183
WARNING 2025-04-22 03:46:26,886 basehttp 12620 16392 "GET /api/cot-summary/ HTTP/1.1" 401 183
INFO 2025-04-22 03:46:26,887 basehttp 12620 16392 "OPTIONS /api/accounts/token/refresh/ HTTP/1.1" 200 0
INFO 2025-04-22 03:46:26,888 basehttp 12620 16392 "POST /api/accounts/token/refresh/ HTTP/1.1" 200 241
INFO 2025-04-22 03:46:26,932 basehttp 12620 16392 "GET /api/rep-dashboard/ HTTP/1.1" 200 166
INFO 2025-04-22 03:46:26,935 basehttp 12620 5400 "GET /api/cot-summary/ HTTP/1.1" 200 106
INFO 2025-04-22 03:46:26,935 basehttp 12620 18620 "GET /api/prf-summary/ HTTP/1.1" 200 398
INFO 2025-04-22 04:00:07,262 basehttp 12620 13736 "GET /api/prf-summary/ HTTP/1.1" 200 398
